Negative metabolite	Positive metabolite	Negative score	Positive score
ap4a_c	fum_c	0.0	0.3297861427415
ap4a_c	2dda7p_c	0.0	1.9077897727784718
ap4a_c	g3p_c	0.0	3.0946381972300365
ap4a_c	ala_DASH_D_c	0.0	0.013621624403394863
ap4a_c	r5p_c	0.0	1.431033765048162
ap4a_c	dd2coa_c	0.0	0.10784259388682635
ap4a_c	xu5p_DASH_D_c	0.0	1.334281113215
ap4a_c	23dhmb_c	0.0	0.3643207264137902
ap4a_c	acon_DASH_C_c	0.0	0.4751204237796443
ap4a_c	flxr_c	0.0	0.04239560683733735
ap4a_c	indole_c	0.0	2.0492365227547156
ap4a_c	hx2coa_c	0.0	0.1320796637804565
ap4a_c	acald_c	0.0	0.14044772466168703
ap4a_c	3hdcoa_c	0.0	0.0704910088684825
ap4a_c	indirubin_c	0.0	2.0492365227547156
ap4a_c	malACP_c	0.0	0.03401606970935608
ap4a_c	3dhq_c	0.0	1.9077897727784718
ap4a_c	prpp_c	0.0	2.0281400735876343
ap4a_c	8aonn_c	0.0	1.5584874017411918e-07
ap4a_c	e4p_c	0.0	1.6005635956783313
ap4a_c	glu_DASH_L_c	0.0	2.0252160091906015
ap4a_c	f6p_c	0.0	1.886958446326924
ap4a_c	3otdcoa_c	0.0	0.09460747272304464
ap4a_c	3hocoa_c	0.0	0.0704910088684825
ap4a_c	meoh_c	0.0	2.5655791476441767e-08
ap4a_c	gar_c	0.0	0.059003135233535696
ap4a_c	glc_DASH_D_c	0.0	4.237519831137782
ap4a_c	3hbcoa_c	0.0	0.0837352010704412
ap4a_c	3hddcoa_c	0.0	0.0704910088684825
ap4a_c	tdcoa_c	0.0	0.01267359408350204
ap4a_c	anth_c	0.0	2.0281400735876343
ap4a_c	mlthf_c	0.0	0.47978018209812384
ap4a_c	amob_c	0.0	1.019240096220861e-06
ap4a_c	alac_DASH_S_c	0.0	0.0398485572180029
ap4a_c	s17bp_c	0.0	1.5494691541516275e-32
ap4a_c	3ig3p_c	0.0	2.0281400735876343
