Metabolite	Score	Normalized score	No. of reactions	No. of positive reactions	No. of negative reactions	candidate reactions	positive reactions	negative reactions	Positive score	Negative score
10fthf_c	1.2930071866057635	0.4571470748859375	8	1	3	AICART;Ec_biomass_iJO1366_core_53p95M;ULA4NFT;FMETTRS;MTHFC_reverse;Ec_biomass_iJO1366_WT_53p95M;GARFT;FTHFD	MTHFC_reverse	FTHFD;AICART;Ec_biomass_iJO1366_core_53p95M	0.619597633477	-0.673409553129
12dgr120_c	0.0	0.0	1	0	0	DAGK120			0.0	0.0
12dgr120_p	0.0	0.0	1	0	0	12DGR120tipp			0.0	0.0
12dgr140_c	0.0	0.0	1	0	0	DAGK140			0.0	0.0
12dgr140_p	0.0	0.0	1	0	0	12DGR140tipp			0.0	0.0
12dgr141_c	0.0	0.0	1	0	0	DAGK141			0.0	0.0
12dgr141_p	0.0	0.0	1	0	0	12DGR141tipp			0.0	0.0
12dgr160_c	0.0	0.0	1	0	0	DAGK160			0.0	0.0
12dgr160_p	0.0	0.0	1	0	0	12DGR160tipp			0.0	0.0
12dgr161_c	0.0	0.0	1	0	0	DAGK161			0.0	0.0
12dgr161_p	0.0	0.0	1	0	0	12DGR161tipp			0.0	0.0
12dgr180_c	0.0	0.0	1	0	0	DAGK180			0.0	0.0
12dgr180_p	0.0	0.0	1	0	0	12DGR180tipp			0.0	0.0
12dgr181_c	0.0	0.0	1	0	0	DAGK181			0.0	0.0
12dgr181_p	0.0	0.0	1	0	0	12DGR181tipp			0.0	0.0
12ppd_DASH_R_c	0.0	0.0	2	0	0	LCARR_reverse;12PPDRtpp_reverse			0.0	0.0
12ppd_DASH_R_e	0.0	0.0	2	0	0	12PPDRtex;EX_12ppd_DASH_R_LPAREN_e_RPAREN_			0.0	0.0
12ppd_DASH_R_p	0.0	0.0	2	0	0	12PPDRtpp;12PPDRtex_reverse			0.0	0.0
12ppd_DASH_S_c	0.0	0.0	2	0	0	12PPDStpp_reverse;LCARS_reverse			0.0	0.0
12ppd_DASH_S_e	0.0	0.0	2	0	0	EX_12ppd_DASH_S_LPAREN_e_RPAREN_;12PPDStex			0.0	0.0
12ppd_DASH_S_p	0.0	0.0	2	0	0	12PPDStex_reverse;12PPDStpp			0.0	0.0
13dpg_c	5.954887604271132	4.210741406183831	2	1	1	PGK_reverse;GAPD_reverse	GAPD_reverse	PGK_reverse	1.4221280941	-4.53275951017
14dhncoa_c	0.0	0.0	1	0	0	DHNCOAT			0.0	0.0
14glucan_c	0.0	0.0	1	0	0	AAMYL			0.0	0.0
14glucan_e	0.0	0.0	2	0	0	EX_14glucan_LPAREN_e_RPAREN_;14GLUCANtexi			0.0	0.0
14glucan_p	0.0	0.0	2	0	0	14GLUCANabcpp;AAMYLpp			0.0	0.0
15dap_c	0.0	0.0	2	0	0	APCS;CADVtpp			0.0	0.0
15dap_e	0.0	0.0	2	0	0	DAPtex;EX_15dap_LPAREN_e_RPAREN_			0.0	0.0
15dap_p	0.0	0.0	1	0	0	DAPtex_reverse			0.0	0.0
1agpe120_p	0.0	0.0	1	0	0	LPLIPAL1E120pp			0.0	0.0
1agpe140_p	0.0	0.0	1	0	0	LPLIPAL1E140pp			0.0	0.0
1agpe141_p	0.0	0.0	1	0	0	LPLIPAL1E141pp			0.0	0.0
1agpe160_p	0.0	0.0	1	0	0	LPLIPAL1E160pp			0.0	0.0
1agpe161_p	0.0	0.0	1	0	0	LPLIPAL1E161pp			0.0	0.0
1agpe180_p	0.0	0.0	1	0	0	LPLIPAL1E180pp			0.0	0.0
1agpe181_p	0.0	0.0	1	0	0	LPLIPAL1E181pp			0.0	0.0
1agpg120_p	0.0	0.0	1	0	0	LPLIPAL1G120pp			0.0	0.0
1agpg140_p	0.0	0.0	1	0	0	LPLIPAL1G140pp			0.0	0.0
1agpg141_p	0.0	0.0	1	0	0	LPLIPAL1G141pp			0.0	0.0
1agpg160_p	0.0	0.0	1	0	0	LPLIPAL1G160pp			0.0	0.0
1agpg161_p	0.0	0.0	1	0	0	LPLIPAL1G161pp			0.0	0.0
1agpg180_p	0.0	0.0	1	0	0	LPLIPAL1G180pp			0.0	0.0
1agpg181_p	0.0	0.0	1	0	0	LPLIPAL1G181pp			0.0	0.0
1ddecg3p_c	0.0	0.0	1	0	0	AGPAT120			0.0	0.0
