,EX_INDIRUBIN_LPAREN_e_RPAREN_
10fthf_c,1.2266389670345612
12dgr120_c,0.0
12dgr120_p,0.0
12dgr140_c,0.0
12dgr140_p,0.0
12dgr141_c,0.0
12dgr141_p,0.0
12dgr160_c,0.0
12dgr160_p,0.0
12dgr161_c,0.0
12dgr161_p,0.0
12dgr180_c,0.0
12dgr180_p,0.0
12dgr181_c,0.0
12dgr181_p,0.0
12ppd_DASH_R_c,0.0
12ppd_DASH_R_e,0.0
12ppd_DASH_R_p,0.0
12ppd_DASH_S_c,0.0
12ppd_DASH_S_e,0.0
12ppd_DASH_S_p,0.0
13dpg_c,6.1842025662298585
14dhncoa_c,0.0
14glucan_c,0.0
14glucan_e,0.0
14glucan_p,0.0
15dap_c,0.0
15dap_e,0.0
15dap_p,0.0
1agpe120_p,0.0
1agpe140_p,0.0
1agpe141_p,0.0
1agpe160_p,0.0
1agpe161_p,0.0
1agpe180_p,0.0
1agpe181_p,0.0
1agpg120_p,0.0
1agpg140_p,0.0
1agpg141_p,0.0
1agpg160_p,0.0
1agpg161_p,0.0
1agpg180_p,0.0
1agpg181_p,0.0
1ddecg3p_c,0.0
1ddecg3p_p,0.0
1hdec9eg3p_c,0.04083467733021512
1hdec9eg3p_p,0.0
1hdecg3p_c,0.03645534249297378
1hdecg3p_p,0.0
1odec11eg3p_c,0.0
1odec11eg3p_p,0.0
1odecg3p_c,0.0
1odecg3p_p,0.0
1pyr5c_c,0.14038460476483292
1tdec7eg3p_c,0.0
1tdec7eg3p_p,0.0
1tdecg3p_c,0.0
1tdecg3p_p,0.0
23camp_e,0.0
23camp_p,0.0
23ccmp_e,0.0
23ccmp_p,0.0
23cgmp_e,0.0
23cgmp_p,0.0
23cump_e,0.0
23cump_p,0.0
23dappa_c,0.0
23dappa_e,0.0
23dappa_p,0.0
23ddhb_c,0.0
23dhacoa_c,0.0
23dhb_c,0.0
23dhba_c,0.0
23dhbzs_c,0.0
23dhdp_c,0.21653035698170647
23dhmb_c,0.9741002546380151
23dhmp_c,0.30497683676412235
23doguln_c,0.0
25aics_c,1.4374322460367993e-05
25dkglcn_c,0.0
25drapp_c,0.00023408965920245362
26dap_DASH_LL_c,0.0
26dap_DASH_M_c,0.435296728713881
26dap_DASH_M_e,0.0
26dap_DASH_M_p,0.0
2agpe120_c,0.0
2agpe120_p,0.0
2agpe140_c,0.0
2agpe140_p,0.0
2agpe141_c,0.0
2agpe141_p,0.0
2agpe160_c,0.002961626097595529
2agpe160_p,0.002961626097595529
2agpe161_c,0.0013575032780951948
2agpe161_p,0.0013575032780951948
2agpe180_c,0.0
2agpe180_p,0.0
2agpe181_c,0.0
2agpe181_p,0.0
2agpg120_c,0.0
2agpg120_p,0.0
2agpg140_c,0.0
2agpg140_p,0.0
2agpg141_c,0.0
2agpg141_p,0.0
2agpg160_c,0.0
2agpg160_p,0.0
2agpg161_c,0.0
2agpg161_p,0.0
2agpg180_c,0.0
2agpg180_p,0.0
2agpg181_c,0.0
2agpg181_p,0.0
2ahbut_c,0.0
2amsa_c,0.0
2aobut_c,0.04753914054647285
2cpr5p_c,2.8682231984627315
2dda7p_c,2.6980221708225955
2ddecg3p_c,0.0
2ddecg3p_p,0.0
2ddg6p_c,0.0
2ddglcn_c,0.0
2ddglcn_e,0.0
2ddglcn_p,0.0
2dh3dgal6p_c,0.0
2dh3dgal_c,0.0
2dhguln_c,0.0
2dhp_c,0.0003023220710779802
2dmmq8_c,0.0
2dmmql8_c,0.0
2dr1p_c,0.0
2dr5p_c,0.0
2fe1s_c,1.3668023175978994e-06
2fe2s_c,0.5248660206669371
2h3oppan_c,0.01323268781382621
2hdec9eg3p_c,0.0
2hdec9eg3p_p,0.0
2hdecg3p_c,0.0
2hdecg3p_p,0.0
2ippm_c,0.2364678211885505
2mahmp_c,0.00013855875309981542
2mcacn_c,0.0
2mcit_c,0.0
2me4p_c,0.0012539017843821154
2mecdp_c,0.0012539017843821154
2obut_c,0.1524884183820612
2odec11eg3p_c,0.0
2odec11eg3p_p,0.0
2odecg3p_c,0.0
2odecg3p_p,0.0
2ohph_c,0.5248647067317244
2ombzl_c,0.0
2omhmbl_c,0.0
2ommbl_c,0.0
2omph_c,0.0
2oph_c,0.00011704482960117705
2oxpaccoa_c,0.0
2p4c2me_c,0.0012539017843821154
2pg_c,3.580506125245659
2pglyc_c,0.0
2sephchc_c,0.0
2shchc_c,0.0
2tdec7eg3p_c,0.0
2tdec7eg3p_p,0.0
2tdecg3p_c,0.0
2tdecg3p_p,0.0
2tpr3dpcoa_c,0.0
34dhpac_e,0.0
34dhpac_p,0.0
34hpp_c,0.07249378842907905
35cgmp_c,0.0
3amac_c,0.0
3amp_e,0.0
3amp_p,0.0
3c2hmp_c,0.2364678211885505
3c3hmp_c,0.2364678211885505
3c4mop_c,0.2364678211885505
3cmp_e,0.0
3cmp_p,0.0
3dhguln_c,0.0
3dhgulnp_c,0.0
3dhq_c,2.6980221708225955
3dhsk_c,2.6980221708225955
3fe4s_c,0.0040981436301613045
3gmp_e,0.0
3gmp_p,0.0
3haACP_c,0.0
3hadpcoa_c,0.0
3hbcoa_c,0.14503362263580438
3hcddec5eACP_c,0.0
3hcinnm_c,0.0
3hcinnm_e,0.0
3hcinnm_p,0.0
3hcmrs7eACP_c,0.0
3hcpalm9eACP_c,0.0
3hcvac11eACP_c,0.0
3hdcoa_c,0.12209400883672945
3hddcoa_c,0.12209400883672945
3hddecACP_c,0.0
3hdecACP_c,0.0
3hhcoa_c,0.12209400883672945
3hhdcoa_c,0.1964891262468163
3hhexACP_c,0.0
3hmrsACP_c,0.04712310876189785
3hocoa_c,0.12209400883672945
3hoctACP_c,0.0
3hoctaACP_c,0.0
3hodcoa_c,0.0
3hpalmACP_c,0.0
3hpp_c,0.0
3hpp_e,0.0
3hpp_p,0.0
3hpppn_c,0.0
3hpppn_e,0.0
3hpppn_p,0.0
3htdcoa_c,0.16386494953194022
3ig3p_c,2.8682231984627315
3mob_c,0.4588729422896385
3mop_c,0.1712155821941086
3ocddec5eACP_c,0.0
3ocmrs7eACP_c,0.0
3ocpalm9eACP_c,0.0
3ocvac11eACP_c,0.0
3odcoa_c,0.12938968598991335
3oddcoa_c,0.12938968598991335
3oddecACP_c,0.0
3odecACP_c,0.0
3ohcoa_c,0.12938968598991335
3ohdcoa_c,0.16386494953194022
3ohexACP_c,0.0
3omrsACP_c,0.01414749764313676
3oocoa_c,0.12938968598991335
3ooctACP_c,0.0
3ooctdACP_c,0.0
3oodcoa_c,0.0
3opalmACP_c,0.0
3ophb_c,0.000117044829601177
3otdcoa_c,0.16386494953194022
3oxdhscoa_c,0.0
3pg_c,4.545992524812209
3php_c,0.9654863995665496
3psme_c,2.6980221708225955
3sala_c,0.0
3ump_e,0.0
3ump_p,0.0
4abut_c,0.02192914781103617
4abut_e,0.0
4abut_p,0.0
4abutn_c,0.02192914781103617
4abz_c,0.00035113448880357044
4adcho_c,0.00035113448880357044
4ahmmp_c,0.0
4ampm_c,0.00013855875309981542
4c2me_c,0.0012539017843821154
4crsol_c,0.00011704482960117451
4fe4s_c,0.526913778546805
4h2opntn_c,0.0
4hbz_c,0.000117044829601177
4hoxpacd_e,0.0
4hoxpacd_p,0.0
4hthr_c,0.0
4mhetz_c,0.0
4mop_c,0.2364678211885505
4mpetz_c,0.00011704482960117451
4pasp_c,0.7563893789551619
4per_c,0.0001089571103774186
4ppan_c,0.0003023220710779802
4ppcys_c,0.0003023220710779802
4r5au_c,0.0004681793184049073
56dura_c,0.0
5aizc_c,0.2824888448131473
5aop_c,0.002809075910428189
5aprbu_c,0.00023408965920245362
5apru_c,0.00023408965920245362
5caiz_c,0.2824888448131473
5dglcn_c,0.0
5dglcn_e,0.0
5dglcn_p,0.0
5dh4dglc_c,0.0
5drib_c,0.00011826584936653039
5fthf_c,0.0
5mta_c,0.0
5mthf_c,0.08101793384710602
5mtr_c,0.0
5mtr_e,0.0
5mtr_p,0.0
5prdmbz_c,0.0
6hmhpt_c,0.0007022689776071409
6hmhptpp_c,0.00035113448880357044
6pgc_c,0.0
6pgl_c,0.0
8aonn_c,2.2040340203344488e-07
ACP_c,0.2158506460514124
LalaDgluMdapDala_c,0.0
LalaDgluMdapDala_e,0.0
LalaDgluMdapDala_p,0.0
LalaDgluMdap_c,0.0022360147504681144
LalaDgluMdap_e,0.0
LalaDgluMdap_p,0.0
LalaDglu_c,0.0022360147504681144
LalaDglu_e,0.0
LalaDglu_p,0.0
LalaLglu_c,0.0022360147504681144
LalaLglu_e,0.0
LalaLglu_p,0.0
N1aspmd_c,0.0
Nmtrp_c,0.0
Sfglutth_c,0.0
aacald_c,0.0
aacoa_c,0.22854408102756785
aact_c,0.0
acACP_c,0.007256474145375893
ac_c,0.15402097694345018
ac_e,0.0
ac_p,0.0
acac_c,0.0
acac_e,0.0
acac_p,0.0
acald_c,0.20294220639688282
acald_e,0.0
acald_p,0.0
acanth_c,0.0
accoa_c,2.5432369782730495
acetol_c,0.0
acg5p_c,0.05873533106475432
acg5sa_c,0.31564324959140766
acgal1p_e,0.0
acgal1p_p,0.0
acgal_e,0.0
acgal_p,0.0
acgam1p_c,0.054065445910603416
acgam1p_e,0.0
acgam1p_p,0.0
acgam6p_c,0.004472029500936229
acgam_c,0.0022360147504681144
acgam_e,0.0
acgam_p,0.0
acglc_DASH_D_c,0.0
acglu_c,0.18718929032808101
acmalt_c,0.0
acmana_c,0.0
acmana_e,0.0
acmana_p,0.0
acmanap_c,0.0
acmum6p_c,0.0022360147504681144
acmum_e,0.0
acmum_p,0.0
acnam_c,0.0
acnam_e,0.0
acnam_p,0.0
acolipa_e,0.0
acolipa_p,0.0
acon_DASH_C_c,0.8229327136999585
acon_DASH_T_c,0.0
aconm_c,0.0
acorn_c,0.18718929032808101
acser_c,0.29305937733155096
acser_e,0.0
acser_p,0.0
actACP_c,0.0
actp_c,0.15402097694345018
ade_c,0.0333708344955746
ade_e,0.013414808897311432
ade_p,0.013414808897311432
adn_c,0.00041644842864323547
adn_e,0.0
adn_p,0.0
adocbi_c,0.0
adocbip_c,0.0
adocbl_c,0.0
adocbl_e,0.0
adocbl_p,0.0
adp_c,18.45858436346372
adpglc_c,0.0
adphep_DASH_DD_c,0.0
adphep_DASH_LD_c,0.0
adprib_c,0.0
ag_c,0.0
ag_e,0.0
agdpcbi_c,0.0
agm_c,0.02192914781103617
agm_e,0.0
agm_p,0.0
ahcys_c,0.00023531067896771177
ahdt_c,0.00035113448880357044
aicar_c,0.3644217139685223
air_c,0.28260588964274846
akg_c,3.8718884461447582
akg_e,0.0
akg_p,0.0
ala_DASH_B_c,0.0003023220710779802
ala_DASH_B_e,0.0
ala_DASH_B_p,0.0
ala_DASH_D_c,0.024927842635614962
ala_DASH_D_e,0.0
ala_DASH_D_p,0.008632893791788502
ala_DASH_L_c,0.6943134629569224
ala_DASH_L_e,0.0
ala_DASH_L_p,0.0
